Company,Volume IDX,Retail IDX,Category IDX,Brand IDX,Rating,# Reviews,
"Dollar Tree (3660 S Tuttle Ave, Sarasota, FL 34239)",1.69,1.86,1,1.14,4.2,135,
"Dollar Tree (9620 Fort Meade Rd, Laurel, MD 20707)",1.42,1.46,1.11,0.96,3.5,280,
"Dollar Tree (1800 E Franklin St Ste 17, Chapel Hill, NC 27514)",1.54,0.89,0,0,3.9,51,
"Dollar Tree (800 Bustleton Pike, Richboro, PA 18954)",0,0,0,0,4,40,
"Dollar Tree (4523 N Peoria Ave, Tulsa, OK 74106)",1.7,1,1,1.15,4.4,23,
"Dollar Tree (5409 South Blvd, Charlotte, NC 28217)",1.42,1.36,1.05,0.96,4.1,139,
"Dollar Tree (4005 E Chandler Blvd, Phoenix, AZ 85048)",0,0,0,0,4.5,71,
"Dollar Tree (1838 Marron Rd E, Carlsbad, CA 92008)",1.7,1.66,1.02,1.15,4.2,81,
"Dollar Tree (5080 E Bay Dr, Clearwater, FL 33764, USA)",1.4,1.19,0.91,0.95,4.1,183,
"Dollar Tree (9360 Miller Rd, Miami, FL 33165)",1.48,1.18,1,1,4.2,156,
"Dollar Tree (351 Englewood Pkwy, Englewood, CO 80110, USA)",1.46,1.48,1,0.99,3.5,148,
"Dollar Tree (10894 SE Oak St, Milwaukie, OR 97222)",1.39,1.42,1,0.94,4.1,92,
"Dollar Tree (2117 NE Burnside Rd, Gresham, OR 97030)",1.68,1.49,1.12,1.13,3.8,148,
"Dollar Tree (11111 San Jose Blvd Suite 45, Jacksonville, FL 32223)",1.03,0.98,0.83,0.7,4.2,117,
"Dollar Tree (9525 W Flagler St, Miami, FL 33174)",1.54,1.24,1,1.04,4.1,527,
"Dollar Tree (5745 N 19th Ave, Phoenix, AZ 85015)",1.74,1.46,1.17,1.18,3.8,293,
"Ross Dress for Less (14940 N Dale Mabry Hwy, Tampa, FL 33618)",0.67,0.64,0.95,0.68,4.3,691,
"Ross Dress for Less (17672 Southcenter Pkwy, Tukwila, WA 98188)",0,0,0,0,3.8,802,
"Ross Dress for Less (2189 US Hwy 70 SE, Hickory, NC 28602)",1.01,0.92,1.24,1.02,4.3,1056,
"Ross Dress for Less (6744 Stanford Ranch Rd, Roseville, CA 95678)",0.93,0.95,1.14,0.94,4,536,
"Ross Dress for Less (7603 Turkey Lake Rd, Orlando, FL 32819)",0.99,1.03,1.11,1,4.6,298,
"Ross Dress for Less (2393 S Havana St, Aurora, CO 80014)",0.98,0.95,0.95,0.99,3.7,1046,
"Ross Dress for Less (19800 Hawthorne Blvd, Torrance, CA 90503, United States)",0.9,0.85,1.15,0.91,4.1,544,
"Ross Dress for Less (2405 N Haskell Ave., Dallas, TX 75204)",1.57,1.52,1.68,1.57,4.1,303,
"Ross Dress for Less (3615 Florida Ave S, Lakeland, FL 33803)",0.88,0.88,1,0.89,4.1,784,
"Ross Dress for Less (12775 Citrus Plaza Dr, Tampa, FL 33625)",0.93,0.97,1.36,0.93,4.3,855,
"Ross Dress for Less (5501 Philadelphia St, Chino, CA 91710)",0.86,0.74,0.88,0.87,4.3,553,
"Michaels (15100 Hesperian Blvd, San Leandro, CA 94578)",0.77,0.66,1,0.71,4.1,681,
"Michaels (5730 Fairmont Pkwy, Pasadena, TX 77505)",1.2,1.14,1.17,1.12,4.4,918,
"Michaels (1350 Northern Blvd, Manhasset, NY 11030)",0.79,0.82,1,0.74,4.3,492,
"Michaels (6823 Hwy 6 N, Houston, TX 77084)",1.26,1.19,1.11,1.17,4.4,578,
"Michaels (359 Carroll St, Fort Worth, TX 76107)",1.21,1.21,1,1.12,4.4,509,
"Michaels (2041 Dr Martin Luther King Jr Pkwy, Chico, CA 95928, United States)",1.2,1,1,1.11,4.3,740,
"Michaels (3759 William Penn Hwy, Monroeville, PA 15146, United States)",0.89,0.89,1,0.83,4.3,506,
"Michaels (7890 Dublin Blvd, Dublin, CA 94568)",0.87,0.92,1,0.81,4.2,600,
"Michaels (4360 Montgomery Rd, Ellicott City, MD 21043)",1.08,0.89,1,1,4.4,617,
"Michaels (1019 A Edwards Ferry Rd NE, Leesburg, VA 20176)",1,0.91,1,0.92,4.3,208,
"Michaels (6545 N Grand Parkway W, #100, Spring, TX 77389)",1.29,1.12,1,1.2,4.5,538,
"Michaels (340 Crossroads Blvd, Cary, NC 27511)",1.04,1,1,0.97,4.3,708,
"Michaels (4727 E Cactus Rd, Phoenix, AZ 85032)",1,0.99,1,0.93,4.3,561,
"Michaels (8287 W Flagler St, Miami, FL 33144)",1.3,1.27,1,1.2,4.5,1717,
"Michaels (1212 Irvine Blvd, Tustin, CA 92780)",1.08,1.07,1.02,1.01,4.4,467,
"Michaels (211 Robert C Daniel Jr Pkwy, Augusta, GA 30909)",1.24,1.02,1,1.15,4.4,1045,
"Michaels (5442 New Hope Commons Dr, Durham, NC 27707)",1.18,1.21,1,1.1,4.3,783,
"Michaels (1231 Knapp Rd, Montgomery Township, PA 19454)",0.98,0.96,1,0.91,4.4,345,
"Michaels (135 Promenade Blvd, Bridgewater Township, NJ 08807)",1.05,0.94,1,0.98,4.3,639,
"Michaels (2130 NJ-35, Holmdel, NJ 07733)",1.26,1.28,1,1.17,4.2,421,
"Michaels (46301 Potomac Run Plaza, Sterling, VA 20164)",1.08,1.1,1,1,4.4,512,
"Michaels (5400 Brodie Ln, Austin, TX 78745, USA)",1.13,1.07,1.02,1.05,4.3,655,
"Michaels (2649 Vista Way, Oceanside, CA 92054)",1.06,1.02,1.17,0.99,4.3,585,
"Michaels (2101 NE Burnside Rd, Gresham, OR 97030, USA)",1.08,0.97,1.03,1.01,4.3,591,
"Michaels (11111 San Jose Blvd, Jacksonville, FL 32223, USA)",1.13,1.09,1,1.05,4.5,489,
"Michaels (340 Crossroads Blvd, Cary, NC 27518, USA)",1.04,1,1,0.97,4.3,708,
"Michaels (821 Center Point Way, Gaithersburg, MD 20878)",1.22,1.15,1,1.14,4.3,527,
"Ross Dress for Less (135 Brandon Town Center Dr, Brandon, FL 33511)",1.43,1.41,1.56,1.44,4,1222,
"Ross Dress for Less (2555 Town Center Blvd N, Sugar Land, TX 77479)",1.21,1.24,1.48,1.22,4,558,
