,_id,count,companies
0,avella.com,2,['Avella']
1,citgo.com,1,['Citgo']
2,3day.com,3,['3 Day Blinds']
3,vccusa.com,9,['VCC Construction']
4,sudprop.com,2,['Sudberry Properties']
5,321zips.com,2,['ZIPS Dry Cleaners']
6,lormaxstern.com,4,"['Stern Development', 'Lormax Stern Development']"
7,eosfitness.com,1,['Eos Fitness']
8,robeks.com,2,['Robeks']
9,hathawaygroup.com,1,['Hathaway Group']
10,centergyretail.com,3,['Centergy Retail']
11,worldwidegolf.com,1,['Worldwide Golf Shops']
12,kimcorealty.com,53,['Kimco Realty']
13,abpcapital.com,1,['ABP Capital']
14,equipfoods.com,1,['Equip']
15,burlingtonstores.com,5,['Burlington']
16,normanok.gov,1,"['City of Norman, OK']"
17,joeris.com,1,['Joeris General Contractors']
18,adgdevelopment.com,1,['Adg-development']
19,hrdevelopers.com.br,1,['H.R. Developers']
20,popularcommercial.com,1,['Popular Commercial Lending Group']
21,endurancehouse.com,3,['Endurance House']
22,kgstores.com,1,['K&G']
23,iraspilky.com,1,['Ira Spilky & Associates']
24,carlislecorp.com,1,['LYFE Kitchen']
25,clearchoice.com,3,"['ClearChoice Dental', 'Clearchoice Dental']"
26,nationalretailadvisory.com,1,['Kasa Living']
27,ccu.com,1,['California Credit Union']
28,brooklynboulders.com,1,['Brooklyn Boulders']
29,sentineldev.com,1,['CREDE']
30,containerstore.com,2,"['Container Store, The']"
31,leasepilot.co,3,['Leasepilot']
32,lowes.com,1,"[""Lowe's""]"
33,bbt.com,2,['BB & T']
34,macys.com,15,"[""Macy's""]"
35,preit.com,28,['PREIT']
36,rcdi.ws,1,['RCDI']
37,hmart.com,2,"['HMart', 'Hmart']"
38,whitewaterwest.com,1,['FlowRider']
39,lids.com,2,['Lids']
40,ballardbrandsllc.com,1,['WOW Cafe & Wingery']
41,schuckmanrealty.com,17,['Schuckman Realty']
42,yoshinoyaamerica.com,2,['Yoshinoya']
43,suncoastcreditunion.com,4,['Suncoast Credit Union']
44,perfumes4u.net,2,"['PERFUMES 4 U', 'Perfumes 4 U']"
45,getleverage.com,1,['Leverage']
46,centrexproperties.com,2,['Centrex Properties']
47,marcusandmillichap.com,1,['Marcus & Millichap']
48,betinvestments.com,2,['BET Investments']
49,swireproperties.com,1,['Swire Properties']
50,chicos.com,5,"['White House/Black Market', ""Chico's""]"
51,kennedywilson.com,14,"['Kennedy Wilson', 'KENNEDY WILSON']"
52,cityviewcommercial.com,4,['Cityview Commercial']
53,cypressequities.com,1,['Cypress Equities']
54,pelotoncycle.com,2,['Peloton']
55,aldinedistrict.org,6,['East Aldine District']
56,ralphlauren.com,1,['Ralph Lauren']
57,endeavor-re.com,19,"['Endeavor Real Estate Group', 'Endeavor', 'Lat Purser & Associates']"
58,zamagias.com,1,['Zamagias Properties']
59,capstone-properties.com,3,['Capstone Properties']
60,eatsa.com,1,['Eatsa']
61,coffeebean.com,3,"['The Coffee Bean & Tea Leaf', 'Coffee Bean, The']"
62,locationmatters.com,4,['Location Matters']
63,electrifyamerica.com,5,['Electrify America']
64,faboarch.com,1,['Fabo Architecture']
65,fastsigns.com,1,['FASTSIGNS International']
66,tapestry.com,1,['kate spade']
67,thejaffecorp.com,2,['The Jaffe']
68,temple.edu,5,['Temple University']
69,mckinley.com,1,['Mckinley']
70,ou.edu,2,['University of Oklahoma']
71,fccuburt.org,2,['Financial Center Credit Union']
72,forestparkny.com,1,['Forest Park Properties']
73,rinconconsultants.com,2,['Rincon Consultants']
74,kornwasser.net,1,['Kornwasser Shopping Center Properties']
75,bpih.com.hk,2,['BP International']
76,horncompanies.com,3,['Horn Companies']
77,blackwaterresources.com,2,['Blackwater Resources']
78,columbuspacific.com,1,['Columbus Pacific Retail']
79,atlanticretail.com,45,['Atlantic Retail']
80,hmv.co.jp,1,['HMV']
81,visconsi.com,1,['Visconsi Companies']
82,newlinkmg.com,5,['Newlink Management Group']
83,rockrose.com,1,['Rockrose Development']
84,axcessfinancial.com,1,['Check ‘n Go']
85,ilfo.com,1,['Il Fornaio']
86,ppmco.net,2,['Precision Property Measurements']
87,naihallmark.com,5,['NAI Hallmark']
88,regalcinemas.com,1,['Regal Cinemas']
89,800degrees.com,1,['800 Degrees Pizza']
90,thebretongroup.com,1,['THE BRETON GROUP']
91,bennettconstruct.com,1,['Bennett Construction Services']
92,commercialwest.com,3,['Commercial West Brokerage']
93,themaleyco.com,1,['The Maley Company']
94,gucci.com,1,['Gucci']
95,fitnessintl.com,7,['LA Fitness']
96,lauderhill-fl.gov,4,['City of Lauderhill']
97,petvalu.com,2,['Pet Valu']
98,costsegserve.com,2,['CSSI - Cost Segregation Services']
99,croinc.com,2,['CRO']
100,cunninghamtx.com,2,['Cunningham Ventures']
101,brekkere.com,2,['Brekke Real Estate']
102,ashleystewart.com,1,['Ashley Stewart']
103,sharerails.com,1,['Sharerails']
104,colliercompanies.com,3,['The Collier Companies']
105,nadelarc.com,6,['Nadel Architects']
