,Building ID,Brand,address,Shopping Center Address,City,State / Prov,Postal Code,Latitude,Longitude,name
0,106640.0,Ross Dress for Less,"14940 N Dale Mabry Hwy, Tampa, FL 33618",N. Dale Mabry Hwy. & Ehrlich Rd.,Tampa,FL,33624.0,28.087116,-82.50540500000000,Ross Dress for Less
1,100500.0,Ross Dress for Less,"17672 Southcenter Pkwy, Tukwila, WA 98188",Southcenter Pkwy. & Minkler Blvd.,Tukwila,WA,98188.0,47.446093,-122.260892,Ross Dress for Less
2,101770.0,Ross Dress for Less,"2189 US Hwy 70 SE, Hickory, NC 28602",US Hwy. 70  & Pleasant Valley Rd.,Raleigh,NC,27612.0,35.85883,-78.70367000000000,Ross Dress for Less
3,111550.0,Ross Dress for Less,"6744 Stanford Ranch Rd, Roseville, CA 95678",Stanford Ranch Rd. & Hwy. 65,Roseville,CA,95677.0,38.781739,-121.267865,Ross Dress for Less
4,100240.0,Ross Dress for Less,"7603 Turkey Lake Rd, Orlando, FL 32819",I-4 & Turkey Lake Rd.,Orlando,FL,32819.0,28.453501,-81.47648000000000,Ross Dress for Less
5,106820.0,Ross Dress for Less,"2393 S Havana St, Aurora, CO 80014",S. Parker Rd. & Havana St.,Aurora,CO,80014.0,39.67351,-104.867486,Ross Dress for Less
6,100380.0,Ross Dress for Less,"19800 Hawthorne Blvd, Torrance, CA 90503, United States",Hawthorne Blvd. & Halison St.,Torrance,CA,90503.0,33.851860000000000,-118.352751,Ross Dress for Less
7,105650.0,Ross Dress for Less,"2405 N Haskell Ave., Dallas, TX 75204",Rte. 75 & Lemmon Ave.,Dallas,TX,75204.0,32.8036,-96.7889,Ross Dress for Less
8,101230.0,Ross Dress for Less,"3615 Florida Ave S, Lakeland, FL 33803",S. Florida Ave.  & Drane Field Rd.,Lakeland,FL,33803.0,27.998479,-81.959288,Ross Dress for Less
9,100030.0,Ross Dress for Less,"12775 Citrus Plaza Dr, Tampa, FL 33625",Citrus Park Dr. & Easy St.,Tampa,FL,33625.0,28.064705,-82.57586000000000,Ross Dress for Less
10,114050.0,Ross Dress for Less,"5501 Philadelphia St, Chino, CA 91710",Philadelphia St. & Central Ave.,Chino,CA,91710.0,34.032269,-117.684068,Ross Dress for Less
11,100110.0,Ross Dress for Less,"135 Brandon Town Center Dr, Brandon, FL 33511",Brandon Town Center Dr. & Ring Rd.,Brandon,FL,33511.0,27.936765,-82.32333300000000,Ross Dress for Less
12,100430.0,Ross Dress for Less,"2555 Town Center Blvd N, Sugar Land, TX 77479",Town Center Blvd. & Prospect Ave.,Champaign,IL,61821.0,40.141759,-88.259493,Ross Dress for Less
13,114510.0,Ross Dress for Less,"7886 Dublin Blvd, Dublin, CA 94568",Dublin Blvd. & Regional St.,Dublin,CA,94568.0,37.702554,-121.931699,Ross Dress for Less
14,114550.0,Ross Dress for Less,"15100 Hesperian Blvd, San Leandro, CA 94578",Hesperian Blvd. & Fairmont Dr.,San Leandro,CA,94578.0,37.701109,-122.128801,Ross Dress for Less
15,114550.0,Michaels,"15100 Hesperian Blvd, San Leandro, CA 94578",Hesperian Blvd. & Fairmont Dr.,San Leandro,CA,94578.0,37.701109,-122.128801,Michaels
16,114090.0,Ross Dress for Less,"2505 Vista Way, Oceanside, CA 92054",Vista Way & El Camino Real,Oceanside,CA,92054.0,33.182274,-117.333601,Ross Dress for Less
17,111670.0,Ross Dress for Less,"2520 Jamacha Road, El Cajon, CA 92019",Jamacha Rd. & Fury Lane,El Cajon,CA,92019.0,32.745342,-116.930501,Ross Dress for Less
18,111950.0,Ross Dress for Less,"13630 Poway Rd, Poway, CA 92064",Poway Rd. & Midland Rd.,Poway,CA,92064.0,32.957317,-117.035491,Ross Dress for Less
19,115180.0,Ross Dress for Less,"300 NW Eastman Pkwy, Gresham, OR 97030",NW Eastman Pkwy. & NW Division St.,Gresham,OR,97030.0,45.501705,-122.434671,Ross Dress for Less
20,115690.0,Ross Dress for Less,"1023 Edwards Ferry Rd NE, Leesburg, VA 20176",Edwards Ferry Rd. NE & Leesburg Bypass,Leesburg,VA,20176.0,39.112379,-77.534959,Ross Dress for Less
21,116670.0,Ross Dress for Less,"8115 W Bell Rd, Peoria, AZ 85382",West Bell Rd. & N. 83rd Ave.,Peoria,AZ,85382.0,33.636802,-112.229581,Ross Dress for Less
22,114840.0,Ross Dress for Less,"26117 104th Ave SE, Kent, WA 98030",104th Ave. SE & SE 260th St.,Kent,WA,98030.0,47.367511,-122.203669,Ross Dress for Less
23,111150.0,Ross Dress for Less,"1410 Linda Mar Shopping Center, Pacifica, CA 94044",Linda Mar Blvd. & Coast Hwy.,Pacifica,CA,94044.0,37.5946,-122.504,Ross Dress for Less
24,109510.0,Ross Dress for Less,"4112 Fremont Hub, Fremont, CA 94538",Argonaut Way & Mowry Ave.,Fremont,CA,94538.0,37.545601,-121.986774,Ross Dress for Less
25,117500.0,Ross Dress for Less,"6545 Spring Stuebner Rd, Spring, TX 77379",Grand Parkway & Kuykendahl Rd.,Spring,TX,77389.0,30.0877,-95.5222,Ross Dress for Less
26,114350.0,Ross Dress for Less,"5850 S Vermont Ave, Los Angeles, CA 90044",S. Vermont Ave. & W. Slauson Ave.,Los Angeles,CA,90044.0,33.988051,-118.29041400000000,Ross Dress for Less
27,117550.0,Ross Dress for Less,"1751 W Bethany Home Rd, Phoenix, AZ 85015",West Bethany Home Rd. & 19th Ave.,Phoenix,AZ,85015.0,33.52185,-112.095264,Ross Dress for Less
28,100440.0,Michaels,"211 Robert C Daniel Jr Pkwy, Augusta, GA 30909",Robert C. Daniel Pkwy. & Walton Way Ext.,Augusta,GA,30909.0,33.491988,-82.08038500000000,Michaels
29,100100.0,Michaels,"5730 Fairmont Pkwy, Pasadena, TX 77505",Fairmont Pkwy. & Sam Houston Pkwy.,Pasadena,TX,77505.0,29.647346,-95.153161,Michaels
30,102370.0,Michaels,"1350 Northern Blvd, Manhasset, NY 11030",Northern Blvd. & Shelter Rock Rd.,Manhasset,NY,11030.0,40.7924,-73.6945,Michaels
31,116930.0,Ross Dress for Less,"6610 Edwardsville Crossing Dr, Edwardsville, IL 62025",State Hwy. 249 & Lakewood Crossing Dr.,Houston,TX,77377.0,30.010307,-95.590285,Ross Dress for Less
32,113550.0,Michaels,"6823 Hwy 6 N, Houston, TX 77084",FM 529 & Hwy. 6,Houston,TX,77084.0,29.876634000000000,-95.646313,Michaels
33,111001.0,Michaels,"359 Carroll St, Fort Worth, TX 76107",W. 7th St. & Carroll St.,Fort Worth,TX,76107.0,32.754133,-97.352386,Michaels
