,Building ID,Brand,Shopping Center Address,City,State / Prov,Postal Code,Latitude,Longitude,name,address,request_url,url,closed_indicator,website,rating,num_reviews,price,type,description,activity,operations,hours,menu_link,phone,online_ordering_platforms,events,other_platform_ratings,top_review_comments,self_description,time_of_scrape
0,106640,Ross Dress for Less,N. Dale Mabry Hwy. & Ehrlich Rd.,Tampa,FL,33624,28.087115999999998,-82.50540500000001,Ross Dress for Less,"14940 N Dale Mabry Hwy, Tampa, FL 33618",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+n.%2Bdale%2Bmabry%2Bhwy.%2B%26%2Behrlich%2Brd.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+n.%2Bdale%2Bmabry%2Bhwy.%2B%26%2Behrlich%2Brd.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.3,694,$,"Clothing store in the Greater Northdale, Florida","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 15, 32, 46, 50, 50, 48, 42, 32, 20, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 9, 16, 21, 23, 21, 16, 14, 25, 13, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 22, 26, 23, 23, 26, 24, 27, 33, 22, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 9, 16, 20, 19, 18, 22, 25, 23, 15, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 16, 27, 33, 29, 20, 16, 23, 30, 26, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 22, 29, 30, 38, 56, 63, 55, 48, 26, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 31, 56, 66, 54, 67, 100, 40, 40, 40, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(813) 963-3558,,,,,,2020-07-22 19:17:06.552205
1,100500,Ross Dress for Less,Southcenter Pkwy. & Minkler Blvd.,Tukwila,WA,98188,47.446093,-122.260892,Ross Dress for Less,"17672 Southcenter Pkwy, Tukwila, WA 98188",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+southcenter%2Bpkwy.%2B%26%2Bminkler%2Bblvd.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+southcenter%2Bpkwy.%2B%26%2Bminkler%2Bblvd.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,3.8,805,$,"Clothing store in Tukwila, Washington","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.",[],,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(206) 575-0110,,,,,,2020-07-22 19:17:06.553937
2,101770,Ross Dress for Less,US Hwy. 70  & Pleasant Valley Rd.,Raleigh,NC,27612,35.85883,-78.70366999999999,Ross Dress for Less,"2189 US Hwy 70 SE, Hickory, NC 28602",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+us%2Bhwy.%2B70%2B%2B%26%2Bpleasant%2Bvalley%2Brd.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+us%2Bhwy.%2B70%2B%2B%26%2Bpleasant%2Bvalley%2Brd.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.3,1059,$,"Clothing store in Hickory, North Carolina","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 34, 58, 53, 53, 62, 51, 53, 56, 27, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 26, 36, 31, 33, 33, 37, 46, 38, 16, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 19, 31, 36, 31, 24, 28, 38, 38, 23, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 17, 39, 54, 50, 41, 45, 51, 44, 27, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 22, 42, 55, 52, 46, 50, 56, 49, 31, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 32, 52, 61, 55, 50, 59, 72, 67, 45, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 47, 78, 74, 81, 100, 88, 77, 84, 58, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(828) 328-3655,,,,,,2020-07-22 19:17:06.663299
3,111550,Ross Dress for Less,Stanford Ranch Rd. & Hwy. 65,Roseville,CA,95677,38.781739,-121.26786499999999,Ross Dress for Less,"6744 Stanford Ranch Rd, Roseville, CA 95678",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+stanford%2Branch%2Brd.%2B%26%2Bhwy.%2B65&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+stanford%2Branch%2Brd.%2B%26%2Bhwy.%2B65&sourceid=chrome&ie=UTF-8,,https://www.rossstores.com/departments,4.0,537,$,"Clothing store in Roseville, California","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 15, 41, 58, 59, 64, 72, 65, 44, 21, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 21, 29, 35, 36, 33, 27, 28, 32, 19, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 14, 26, 39, 47, 46, 42, 43, 42, 27, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 19, 30, 39, 43, 39, 30, 25, 35, 24, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 23, 31, 36, 37, 39, 42, 43, 36, 20, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 33, 50, 66, 77, 78, 69, 54, 36, 21, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 41, 63, 83, 97, 100, 89, 70, 48, 28, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(916) 771-8920,,,"[{'source': '4/5', 'rating': '', 'num_reviews': None}]",,,2020-07-22 19:17:06.723762
4,100240,Ross Dress for Less,I-4 & Turkey Lake Rd.,Orlando,FL,32819,28.453501,-81.47648000000001,Ross Dress for Less,"7603 Turkey Lake Rd, Orlando, FL 32819",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+i-4%2B%26%2Bturkey%2Blake%2Brd.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+i-4%2B%26%2Bturkey%2Blake%2Brd.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.6,301,,"Clothing store in Orange County, Florida","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 8, 29, 56, 72, 65, 50, 49, 44, 22, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 12, 24, 36, 41, 38, 43, 64, 62, 25, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 19, 29, 35, 37, 33, 27, 39, 64, 32, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 16, 27, 40, 53, 59, 56, 45, 31, 18, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 21, 35, 47, 52, 53, 52, 50, 37, 18, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 45, 54, 59, 59, 54, 53, 67, 64, 29, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 24, 52, 82, 98, 93, 87, 100, 84, 35, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(407) 355-0423,,,,,,2020-07-22 19:17:06.810215
5,106820,Ross Dress for Less,S. Parker Rd. & Havana St.,Aurora,CO,80014,39.67351,-104.86748600000001,Ross Dress for Less,"2393 S Havana St, Aurora, CO 80014",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+s.%2Bparker%2Brd.%2B%26%2Bhavana%2Bst.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+s.%2Bparker%2Brd.%2B%26%2Bhavana%2Bst.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,3.7,1046,$,"Clothing store in Aurora, Colorado","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 28, 44, 53, 51, 49, 77, 71, 60, 12, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 20, 30, 37, 39, 36, 37, 40, 32, 16, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 20, 32, 44, 50, 46, 35, 28, 32, 28, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 20, 36, 48, 50, 42, 33, 37, 39, 18, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 17, 31, 42, 46, 44, 48, 60, 55, 29, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 32, 45, 53, 56, 63, 69, 58, 54, 44, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 32, 50, 77, 100, 96, 80, 86, 87, 52, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(303) 368-8025,,,,,,2020-07-22 19:17:07.089825
6,100380,Ross Dress for Less,Hawthorne Blvd. & Halison St.,Torrance,CA,90503,33.851859999999995,-118.352751,Ross Dress for Less,"19800 Hawthorne Blvd, Torrance, CA 90503, United States",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+hawthorne%2Bblvd.%2B%26%2Bhalison%2Bst.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+hawthorne%2Bblvd.%2B%26%2Bhalison%2Bst.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.0,547,$,"Clothing store in Torrance, California","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 37, 46, 51, 79, 95, 100, 97, 76, 44, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 13, 25, 37, 39, 41, 44, 34, 20, 6, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 11, 13, 13, 16, 23, 32, 32, 25, 13, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 18, 30, 34, 41, 51, 55, 51, 39, 25, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 20, 44, 46, 39, 44, 46, 32, 46, 30, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 23, 37, 46, 41, 39, 46, 55, 55, 37, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 27, 44, 65, 81, 86, 76, 60, 39, 23, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,+1 310-370-3508,,,,,,2020-07-22 19:17:07.189832
7,105650,Ross Dress for Less,Rte. 75 & Lemmon Ave.,Dallas,TX,75204,32.8036,-96.7889,Ross Dress for Less,"2405 N Haskell Ave., Dallas, TX 75204",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+rte.%2B75%2B%26%2Blemmon%2Bave.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+rte.%2B75%2B%26%2Blemmon%2Bave.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.1,303,,"Clothing store in Dallas, Texas","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 29, 49, 70, 82, 81, 68, 50, 38, 40, 45, 37, 0, 0, 0]], [6, [0, 0, 0, 0, 26, 41, 56, 65, 64, 53, 37, 25, 31, 45, 30, 0, 0, 0]], [6, [0, 0, 0, 0, 33, 45, 57, 65, 67, 64, 57, 56, 64, 64, 41, 0, 0, 0]], [6, [0, 0, 0, 0, 38, 53, 67, 76, 76, 68, 57, 49, 52, 57, 46, 0, 0, 0]], [6, [0, 0, 0, 0, 28, 42, 55, 67, 74, 75, 69, 62, 66, 76, 62, 0, 0, 0]], [6, [0, 0, 0, 0, 58, 78, 85, 80, 76, 78, 77, 63, 57, 66, 53, 0, 0, 0]], [6, [0, 0, 0, 0, 57, 85, 100, 95, 85, 85, 86, 77, 61, 47, 33, 0, 0, 0]]]]",,"{'Wednesday': '10AM–10PM', 'Thursday': '10AM–10PM', 'Friday': '10AM–10PM', 'Saturday': '10AM–10PM', 'Sunday': '10AM–10PM', 'Monday': '10AM–10PM', 'Tuesday': '10AM–10PM'}",,(214) 841-0100,,,,,,2020-07-22 19:17:07.235120
8,101230,Ross Dress for Less,S. Florida Ave.  & Drane Field Rd.,Lakeland,FL,33803,27.998479,-81.959288,Ross Dress for Less,"3615 Florida Ave S, Lakeland, FL 33803",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+s.%2Bflorida%2Bave.%2B%2B%26%2Bdrane%2Bfield%2Brd.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+s.%2Bflorida%2Bave.%2B%2B%26%2Bdrane%2Bfield%2Brd.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.1,786,$,"Clothing store in Lakeland, Florida","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 58, 88, 58, 41, 76, 88, 58, 52, 100, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 17, 35, 47, 58, 58, 47, 35, 17, 11, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 35, 47, 52, 47, 29, 35, 47, 41, 17, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 29, 35, 41, 58, 76, 58, 35, 23, 17, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 35, 47, 47, 58, 70, 76, 64, 41, 23, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 94, 58, 29, 41, 52, 58, 58, 47, 29, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 82, 100, 52, 23, 35, 64, 88, 76, 47, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(863) 646-5900,,,"[{'source': '2/5', 'rating': '', 'num_reviews': None}]",,,2020-07-22 19:17:07.269209
9,100030,Ross Dress for Less,Citrus Park Dr. & Easy St.,Tampa,FL,33625,28.064705,-82.57585999999999,Ross Dress for Less,"12775 Citrus Plaza Dr, Tampa, FL 33625",https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+citrus%2Bpark%2Bdr.%2B%26%2Beasy%2Bst.&sourceid=chrome&ie=UTF-8,https://www.google.com/search?hl=en&q=ross%2Bdress%2Bfor%2Bless+citrus%2Bpark%2Bdr.%2B%26%2Beasy%2Bst.&sourceid=chrome&ie=UTF-8,,http://www.rossstores.com/,4.3,856,$,"Clothing store in the Citrus Park, Florida","Retail chain selling brand-name clothing, shoes, accessories & housewares at discount prices.","[[[6, [0, 0, 0, 0, 24, 66, 81, 66, 71, 80, 64, 46, 55, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 17, 30, 39, 36, 29, 29, 36, 33, 16, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 26, 32, 42, 55, 44, 34, 45, 43, 21, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 24, 48, 29, 32, 41, 38, 40, 40, 21, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 21, 30, 31, 24, 21, 26, 33, 29, 16, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 34, 55, 55, 47, 55, 66, 56, 31, 11, 0, 0, 0, 0, 0]], [6, [0, 0, 0, 0, 44, 67, 58, 51, 74, 100, 98, 69, 34, 0, 0, 0, 0, 0]]]]",,"{'Wednesday': '10AM–8PM', 'Thursday': '10AM–8PM', 'Friday': '10AM–8PM', 'Saturday': '10AM–8PM', 'Sunday': '10AM–8PM', 'Monday': '10AM–8PM', 'Tuesday': '10AM–8PM'}",,(813) 926-7458,,,,,,2020-07-22 19:17:07.296655
