Feed,Link,Latitude,Longitude,City,Scope,Topic,Tag
New York Times (Real Estate),https://rss.nytimes.com/services/xml/rss/nyt/RealEstate.xml,,,,National,Real Estate,newyorktimes
New York Times (Most Shared),https://rss.nytimes.com/services/xml/rss/nyt/MostShared.xml,,,,National,Trending,newyorktimes
New York Times (Travel),https://www.nytimes.com/services/xml/rss/nyt/Travel.xml,,,,National,Travel,newyorktimes
New York Times (Business),https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,,,,National,Business,newyorktimes
New York Times (Small Business),https://rss.nytimes.com/services/xml/rss/nyt/SmallBusiness.xml,,,,National,Business,newyorktimes
New York Times (Economy),https://rss.nytimes.com/services/xml/rss/nyt/Economy.xml,,,,National,Business,newyorktimes
New York Times (Deal Book),https://rss.nytimes.com/services/xml/rss/nyt/Dealbook.xml,,,,National,Business,newyorktimes
New York Times (Your Money),https://rss.nytimes.com/services/xml/rss/nyt/YourMoney.xml,,,,National,Business,newyorktimes
New York Times (US),https://rss.nytimes.com/services/xml/rss/nyt/US.xml,,,,National,US,newyorktimes
New York Times (NY),https://rss.nytimes.com/services/xml/rss/nyt/NYRegion.xml,40.7128,-74.0060,New York City,Regional,Region,newyorktimes
CNN (Business),http://rss.cnn.com/rss/money_latest.rss,,,,National,Business,cnn
CNN (Travel),http://rss.cnn.com/rss/cnn_travel.rss,,,,National,Travel,cnn
CNN (US),http://rss.cnn.com/rss/cnn_us.rss,,,,National,US,cnn
HuffingtonPost (Environment),https://www.huffpost.com/section/green/feed,,,,National,Environment,huffpost
HuffingtonPost (Business),https://www.huffpost.com/section/business/feed,,,,National,Business,huffpost
HuffingtonPost (Money),https://www.huffpost.com/section/money/feed,,,,National,Business,huffpost
HuffingtonPost (Travel),https://www.huffpost.com/section/travel/feed,,,,National,Travel,huffpost
HuffingtonPost (US),https://www.huffpost.com/section/us-news/feed,,,,National,US,huffpost
HuffingtonPost (NY),https://www.huffpost.com/topic/new-york/feed,40.7128,-74.0060,New York City,Regional,General,huffpost
HuffingtonPost (Real Estate),https://www.huffpost.com/topic/real-estate/feed,,,,National,Real Estate,huffpost
HuffingtonPost (Los Angeles),https://www.huffpost.com/topic/los-angeles/feed,34.0522,-118.2437,Los Angeles,Local,General,huffpost
HuffingtonPost (Chicago),https://www.huffpost.com/topic/chicago/feed,41.8781,-87.6298,Chicago,Local,General,huffpost
HuffingtonPost (Dallas/Fort Worth),https://www.huffpost.com/topic/dallas/feed,32.7767,-96.7970,Dallas,Local,General,huffpost
HuffingtonPost (Houston),https://www.huffpost.com/topic/houston/feed,29.7604,-95.3698,Houston,Local,General,huffpost
HuffingtonPost (DC),https://www.huffpost.com/topic/washington-dc/feed,38.9072,-77.0369,DC,Local,General,huffpost
HuffingtonPost (Miami),https://www.huffpost.com/topic/miami/feed,25.7617,-80.1918,Miami,Local,General,huffpost
HuffingtonPost (Philadelphia),https://www.huffpost.com/topic/philadelphia/feed,39.9526,-75.1652,Philadelphia,Local,General,huffpost
HuffingtonPost (Atlanta),https://www.huffpost.com/topic/atlanta-georgia/feed,33.7490,-84.3880,Atlanta,Local,General,huffpost
HuffingtonPost (Boston),https://www.huffpost.com/topic/boston/feed,42.3601,-71.0589,Boston,Local,General,huffpost
HuffingtonPost (Phoenix),https://www.huffpost.com/topic/phoenix/feed,33.4484,-112.0740,Pheonix,Local,General,huffpost
HuffingtonPost (San Francisco),https://www.huffpost.com/topic/san-francisco/feed,37.7749,-122.4194,San Francisco,Local,General,huffpost
HuffingtonPost (Detroit),https://www.huffpost.com/topic/detroit/feed,42.3314,-83.0458,Detroid,Local,General,huffpost
HuffingtonPost (Seattle),https://www.huffpost.com/topic/seattle/feed,47.6062,-122.3321,Seattle,Local,General,huffpost
HuffingtonPost (Minneapolis),https://www.huffpost.com/topic/minneapolis/feed,44.9778,-93.2650,Minneapolis,Local,General,huffpost
HuffingtonPost (San Diego),https://www.huffpost.com/topic/san-diego/feed,32.7157,-117.1611,San Diego,Local,General,huffpost
HuffingtonPost (St. Louis),https://www.huffpost.com/topic/st-louis/feed,38.6270,-90.1994,St Louis,Local,General,huffpost
HuffingtonPost (Baltimore),https://www.huffpost.com/topic/baltimore/feed,39.2904,-76.6122,Baltimore,Local,General,huffpost
HuffingtonPost (Orlando),https://www.huffpost.com/topic/orlando/feed,28.5383,-81.3792,Orlando,Local,General,huffpost
HuffingtonPost (Charlotte),https://www.huffpost.com/topic/charlotte/feed,35.2271,-80.8431,Charlotte,Local,General,huffpost
HuffingtonPost (San Antonio),https://www.huffpost.com/topic/san-antonio/feed,29.4241,-98.4936,San Antonio,Local,General,huffpost
HuffingtonPost (Sacramento),https://www.huffpost.com/topic/sacramento/feed,38.5816,-121.4944,Sacramento,Local,General,huffpost
HuffingtonPost (Pittsburgh),https://www.huffpost.com/topic/pittsburgh/feed,40.4406,-79.9959,Pittsburgh,Local,General,huffpost
HuffingtonPost (Las Vegas),https://www.huffpost.com/topic/las-vegas/feed,36.1699,-115.1398,Las Vegas,Local,General,huffpost
HuffingtonPost (Austin),https://www.huffpost.com/topic/austin/feed,30.2672,-97.7431,Austin,Local,General,huffpost
HuffingtonPost (Kansas),https://www.huffpost.com/topic/kansas/feed,39.0997,-94.5786,,Regional,General,huffpost
HuffingtonPost (Cleveland),https://www.huffpost.com/topic/cleveland/feed,41.4993,-81.6944,Cleveland,Local,General,huffpost
HuffingtonPost (Indianapolis),https://www.huffpost.com/topic/indianapolis/feed,39.7684,-86.1581,Indianapolis,Local,General,huffpost
HuffingtonPost (San Jose),https://www.huffpost.com/topic/san-jose/feed,37.3382,-121.8863,San Jose,Local,General,huffpost
HuffingtonPost (Nashville),https://www.huffpost.com/topic/nashville/feed,36.1627,-86.7816,Nashville,Local,General,huffpost
HuffingtonPost (Rhode Island),https://www.huffpost.com/topic/rhode-island/feed,41.5801,-71.4774,,Regional,General,huffpost
