name,path
first_generator,first_generator_mon_apr_13_00:39:19_2020
Official Emailer,Official Emailer_mon_apr_20_14:42:19_2020
test_emailer,test_emailer_mon_apr_20_21:17:25_2020
Stake Holder Emailer,Stake Holder Emailer_tue_apr_21_11:44:11_2020
Official_Emailer_4_29,Official_Emailer_4_29_wed_apr_29_15:56:17_2020
StakeHolderEmailer2,StakeHolderEmailer2_thu_apr_30_15:10:49_2020
Official_Emailer_5_4,Official_Emailer_5_4_tue_may__5_09:03:22_2020
Official_Emailer_5_13,Official_Emailer_5_13_wed_may_13_12:08:06_2020
Official_Emailer_5_20,Official_Emailer_5_20_wed_may_20_11:05:40_2020
Official_Emailer_5_27,Official_Emailer_5_27_wed_may_27_11:34:18_2020
Official_Emailer_6_3,Official_Emailer_6_3_wed_jun__3_11:44:50_2020
Online,Online-Jun-18-2020
