,_id,count
0,Houston,26446
1,Chicago,19713
2,Los Angeles,15950
3,Brooklyn,14458
4,San Antonio,14399
5,Las Vegas,13539
6,Miami,13439
7,Dallas,13119
8,San Diego,11996
9,Phoenix,11784
10,New York,11575
11,Philadelphia,11289
12,Austin,9900
13,Atlanta,9098
14,Orlando,8763
15,Tampa,8515
16,Portland,8014
17,Charlotte,7642
18,Denver,7567
19,Seattle,7460
20,Fort Worth,6892
21,Cincinnati,6829
22,San Francisco,6333
23,Baltimore,6309
24,Sacramento,6294
25,Pittsburgh,6156
26,Washington,5904
27,The Bronx,5851
28,San Jose,5153
29,Arlington,4899
30,Detroit,4724
31,Minneapolis,4451
32,Aurora,4295
33,Mesa,4031
34,Glendale,3888
35,Newark,3835
36,Scottsdale,3832
37,Long Beach,3701
38,Pasadena,3632
39,Tucson,3579
40,Riverside,3559
41,Fort Lauderdale,3447
42,Boston,3350
43,Staten Island,3173
44,Marietta,3120
45,Plano,2951
46,Wilmington,2893
47,St Paul,2828
48,West Palm Beach,2824
49,Anaheim,2809
50,Oakland,2717
51,Hialeah,2699
52,Queens,2687
53,Lakewood,2609
54,Boca Raton,2601
55,Alexandria,2531
56,Vancouver,2515
57,Tacoma,2512
58,Santa Ana,2420
59,Katy,2407
60,Concord,2396
61,Spring,2361
62,Lakeland,2327
63,Monroe,2309
64,Roseville,2304
65,Henderson,2295
66,Westminster,2292
67,Kissimmee,2271
68,Chandler,2184
69,Tempe,2184
70,Clearwater,2176
71,Irving,2153
72,Irvine,2041
73,Flushing,2016
74,San Bernardino,1991
75,Fairfield,1970
76,Orange,1921
77,Huntington Beach,1918
78,Hollywood,1913
79,Garland,1893
80,Decatur,1873
81,Everett,1872
82,Torrance,1864
83,Corona,1826
84,Chula Vista,1774
85,Lawrenceville,1768
86,Auburn,1731
87,San Marcos,1721
88,Bellevue,1682
89,Pompano Beach,1674
90,Fairfax,1673
91,Jamaica,1657
92,Ontario,1653
93,Gilbert,1650
94,Cypress,1631
95,Oceanside,1628
96,Alpharetta,1627
97,Rockville,1601
98,Littleton,1601
99,Melbourne,1579
100,Richmond,1567
101,Norwalk,1555
102,Frisco,1545
103,Costa Mesa,1530
104,Fontana,1518
105,Silver Spring,1506
106,Jersey City,1503
107,Naperville,1497
108,Boulder,1481
109,Milford,1458
110,Rancho Cucamonga,1435
111,Fremont,1432
112,Garden Grove,1431
113,Santa Monica,1414
114,Largo,1394
115,Woodbridge,1385
116,Humble,1381
117,Grand Prairie,1378
118,Delray Beach,1376
119,Escondido,1371
120,Warren,1363
121,Pembroke Pines,1359
122,Sugar Land,1357
123,Columbia,1354
124,Yonkers,1345
125,Carrollton,1336
126,Duluth,1336
127,Englewood,1330
128,Elizabeth,1307
129,Gaithersburg,1305
130,Salem,1301
131,Tulsa,1299
132,El Cajon,1294
133,Troy,1284
134,Stamford,1283
135,Burbank,1270
136,Leesburg,1269
137,Pomona,1267
138,Middletown,1264
139,Nashville,1263
140,North Hollywood,1260
141,Fullerton,1257
142,Norcross,1254
143,Annapolis,1248
144,Whittier,1244
145,Reading,1243
146,Carlsbad,1241
147,Richardson,1235
148,Lake Worth,1220
149,Boynton Beach,1219
150,Round Rock,1218
151,Paterson,1217
152,Peoria,1217
153,Belleville,1212
154,Denton,1211
155,Beaverton,1206
156,Springfield,1196
157,Coral Springs,1190
158,Livonia,1180
159,North Las Vegas,1171
160,Kent,1170
161,Lewisville,1169
162,Pearland,1166
163,Wayne,1158
164,Berkeley,1157
165,Newport Beach,1151
166,Hayward,1149
167,McKinney,1149
168,Simi Valley,1146
169,Joliet,1126
170,Mesquite,1125
171,Baytown,1119
172,Moreno Valley,1110
173,Colorado Springs,1101
174,Dearborn,1099
175,Elgin,1099
176,Davie,1094
177,Schaumburg,1093
178,Hillsboro,1087
179,Buffalo,1075
180,New Braunfels,1066
181,Vista,1065
182,Temecula,1062
183,Canton,1061
184,Doral,1060
185,Van Nuys,1058
186,Manassas,1054
187,Edison,1052
188,Medford,1048
189,Covington,1048
190,Falls Church,1042
191,Cambridge,1035
192,Miami Beach,1033
193,Trenton,1033
194,Southfield,1031
195,Plymouth,1028
196,Homestead,1025
197,Sterling Heights,1024
198,Brandon,1022
199,Bridgeport,1020
200,Brentwood,1014
201,Rock Hill,1013
202,Renton,1006
203,Jupiter,1005
204,Kennesaw,1005
205,Union City,1003
206,Santa Clara,998
207,Elk Grove,996
208,Bloomington,992
209,Gastonia,988
210,Roswell,985
211,Lynnwood,974
212,Stuart,965
213,Ann Arbor,959
214,Thousand Oaks,958
215,Redlands,956
216,Woodbury,955
217,Sterling,952
218,Winter Park,947
219,Northridge,945
220,Plainfield,945
221,Pleasanton,944
222,Sunnyvale,938
223,Folsom,932
224,Sunrise,932
225,Puyallup,925
226,Montclair,925
227,Fresno,924
228,Cherry Hill,920
229,Stafford,919
230,Douglasville,918
231,Spring Hill,917
232,Conyers,916
233,Downey,916
234,Frederick,913
235,Brighton,909
236,White Plains,909
237,Fayetteville,907
238,Bethesda,904
239,Plantation,900
240,Palmdale,896
241,Hudson,896
242,Upland,895
243,Mission Viejo,894
244,San Mateo,892
245,Gardena,890
246,Bradenton,890
247,Hawthorne,889
248,Burlington,888
249,Tustin,888
250,Clifton,883
251,Chino,881
252,Winter Haven,880
253,Clinton Twp,878
254,Georgetown,874
255,El Monte,873
256,Arvada,872
257,Glen Burnie,870
258,Lodi,863
259,Taylor,863
260,Somerville,861
261,New Haven,858
262,McDonough,854
263,Arlington Heights,854
264,Olympia,849
265,Sanford,848
266,Tomball,847
267,West Chester,845
268,Laurel,843
269,Centennial,843
270,Lancaster,841
271,Smyrna,836
272,Woodstock,836
273,Inglewood,835
274,Suwanee,835
275,Cedar Park,820
276,Encinitas,815
277,Santa Clarita,815
278,Florence,814
279,Walnut Creek,812
280,Federal Way,811
281,Clermont,810
282,Galveston,807
283,Snellville,806
284,The Woodlands,805
285,San Rafael,800
286,Allen,799
287,Beaumont,795
288,Stone Mountain,793
289,Kirkland,790
290,San Leandro,787
291,Lake Forest,785
292,Palo Alto,783
293,Orland Park,782
294,Thornton,775
295,Conroe,773
296,West Covina,771
297,San Clemente,769
298,Port Richey,766
299,Redwood City,765
300,Livermore,765
301,Quincy,762
302,Coral Gables,759
303,Waldorf,758
304,Spring Valley,754
305,Surprise,752
306,Hamilton,749
307,Buena Park,748
308,Oak Park,747
309,Shelby Charter Twp,747
