_id,Unnamed: 0,count,count_with_activity,ratio
Starbucks,1,9903,5839.0,58.96
7-Eleven,3,5661,4874.0,86.1
Dunkin',4,5541,4237.0,76.47
McDonald's,6,5151,3271.0,63.5
CVS,9,3484,3226.0,92.59
Walgreens,8,3513,2855.0,81.27
Dollar Tree,11,2857,2591.0,90.69
Subway,7,4854,2533.0,52.18
The UPS Store,10,3049,1966.0,64.48
Family Dollar,13,2112,1925.0,91.15
Dollar General,14,2101,1883.0,89.62
AutoZone Auto Parts,19,1806,1740.0,96.35
Circle K,17,2027,1658.0,81.8
T-Mobile,15,2069,1452.0,70.18
O'Reilly Auto Parts,21,1498,1367.0,91.26
Chipotle Mexican Grill,22,1448,1303.0,89.99
Burger King,20,1703,1300.0,76.34
Advance Auto Parts,27,1309,1217.0,92.97
Panera Bread,29,1199,1094.0,91.24
Target,32,1162,1068.0,91.91
Jack in the Box,28,1236,1033.0,83.58
AT&T Store,12,2420,989.0,40.87
Sherwin-Williams Paint Store,33,1159,985.0,84.99
FedEx Office Print & Ship Center,24,1381,967.0,70.02
Walmart Supercenter,38,1017,962.0,94.59
Rite Aid,35,1085,962.0,88.66
Chick-fil-A,37,1023,900.0,87.98
Firestone Complete Auto Care,41,955,897.0,93.93
United States Postal Service,23,1413,882.0,62.42
Taco Bell,16,2069,819.0,39.58
The Home Depot,46,857,812.0,94.75
Pizza Hut,39,994,812.0,81.69
GameStop,25,1330,783.0,58.87
ALDI,47,843,771.0,91.46
Target Grocery,45,883,767.0,86.86
IHOP,54,787,760.0,96.57
Arby's,48,820,754.0,91.95
Panda Express,40,962,753.0,78.27
Ross Dress for Less,42,926,718.0,77.54
PetSmart - Free Curbside Pickup Available,59,734,713.0,97.14
Sonic Drive-In,49,817,697.0,85.31
Popeyes Louisiana Kitchen,50,804,696.0,86.57
Caliber Collision,56,764,691.0,90.45
Wawa,63,668,632.0,94.61
Wendy's,18,1898,632.0,33.3
Applebee's Grill + Bar,65,661,619.0,93.65
Speedway,58,756,619.0,81.88
Lowe's Home Improvement,69,617,607.0,98.38
Anytime Fitness,36,1076,589.0,54.74
KFC,64,664,581.0,87.5
Michaels,70,609,552.0,90.64
Kohl's,84,538,526.0,97.77
ampm,68,626,524.0,83.71
Staples,83,541,519.0,95.93
Five Guys,76,593,510.0,86.0
Baskin-Robbins,26,1313,507.0,38.61
Midas,77,565,497.0,87.96
Little Caesars Pizza,61,682,489.0,71.7
Buffalo Wild Wings,89,505,488.0,96.63
Planet Fitness,34,1146,485.0,42.32
Denny's,79,556,481.0,86.51
Big Lots,90,496,480.0,96.77
Jersey Mike's Subs,62,672,480.0,71.43
Waffle House,92,494,478.0,96.76
Best Buy,87,524,477.0,91.03
Discount Tire,91,496,475.0,95.77
Wingstop,78,563,469.0,83.3
Petco,94,471,445.0,94.48
Whataburger,103,436,423.0,97.02
Carl's Jr.,85,531,411.0,77.4
Olive Garden Italian Restaurant,107,414,410.0,99.03
Office Depot,108,412,394.0,95.63
Meineke Car Care Center,96,455,373.0,81.98
Trader Joe's,114,385,370.0,96.1
Chili's Grill & Bar,117,376,367.0,97.61
Chuck E. Cheese,106,427,362.0,84.78
Verizon,57,761,348.0,45.73
Whole Foods Market,118,354,337.0,95.2
Ulta Beauty,112,402,335.0,83.33
El Pollo Loco,120,351,332.0,94.59
Bed Bath & Beyond,115,383,329.0,85.9
DICK'S Sporting Goods,126,335,326.0,97.31
Sprint Store,53,788,318.0,40.36
Marshalls,81,553,314.0,56.78
JOANN Fabrics and Crafts,124,341,307.0,90.03
MinuteClinic,72,605,307.0,50.74
Five Below,100,439,306.0,69.7
99 Cents Only Stores,140,314,305.0,97.13
Outback Steakhouse,135,321,304.0,94.7
T.J. Maxx,86,526,300.0,57.03
Sally Beauty,44,897,300.0,33.44
Papa John's Pizza,111,408,299.0,73.28
Safeway,74,596,298.0,50.0
Pep Boys Auto Parts & Service,144,303,296.0,97.69
Petco - Curbside Pick-Up Now Available!,147,300,292.0,97.33
Red Lobster,148,298,291.0,97.65
Cash America Pawn,134,321,289.0,90.03
Old Navy,136,319,286.0,89.66
Del Taco,116,380,286.0,75.26
Macy's,127,335,278.0,82.99
Tropical Smoothie Cafe,109,412,278.0,67.48
The Vitamin Shoppe - Come in or Contact-Free Curbside Pickup Now Available!,113,385,273.0,70.91
Barnes & Noble,119,353,262.0,74.22
Tractor Supply Co.,172,259,253.0,97.68
Domino's Pizza,138,317,251.0,79.18
Sprouts Farmers Market,167,268,250.0,93.28
Einstein Bros. Bagels,99,439,250.0,56.95
