,_id,count,count_with_activity,ratio
0,Dentist,106493,18994.0,17.84
1,,96794,8205.0,8.48
2,Auto Repair Shop,58106,19633.0,33.79
3,Restaurant,34794,16474.0,47.35
4,Medical Clinic,30929,7510.0,24.28
5,Gym,27007,6926.0,25.65
6,Grocery Store,25879,13875.0,53.61
7,Coffee Shop,25367,16420.0,64.73
8,Convenience Store,24631,14810.0,60.13
9,Mexican Restaurant,21188,16093.0,75.95
10,Fast Food Restaurant,20069,13258.0,66.06
11,Auto Body Shop,19962,7730.0,38.72
12,Shipping Service,18583,354.0,1.9
13,Pizza Restaurant,17765,12427.0,69.95
14,Clothing Store,16177,3696.0,22.85
15,Bar,15355,4024.0,26.21
16,Tire Shop,15122,8926.0,59.03
17,Cafe,14489,6096.0,42.07
18,Shopping Mall,13130,4566.0,34.78
19,Chinese Restaurant,11941,6812.0,57.05
20,Doctor,11820,923.0,7.81
21,Cell Phone Store,11525,3845.0,33.36
22,American Restaurant,11084,7602.0,68.59
23,Liquor Store,11070,5887.0,53.18
24,Sandwich Shop,10431,6517.0,62.48
25,Furniture Store,9408,3077.0,32.71
26,Auto Parts Store,9202,6631.0,72.06
27,Shipping And Mailing Service,8622,3727.0,43.23
28,Italian Restaurant,8399,6683.0,79.57
29,Gift Shop,8075,779.0,9.65
30,Drug Store,8040,7173.0,89.22
31,Ice Cream Shop,8009,3081.0,38.47
32,Department Store,7946,6101.0,76.78
33,Medical Center,7931,96.0,1.21
34,Medical Supply Store,7796,1047.0,13.43
35,Shoe Store,7586,1575.0,20.76
36,Dental Clinic,7320,3166.0,43.25
37,Dollar Store,7209,6556.0,90.94
38,Tobacco Shop,6647,2163.0,32.54
39,Store,6432,542.0,8.43
40,Trucking Company,6332,6.0,0.09
41,Florist,5618,1036.0,18.44
42,Beauty Supply Store,5478,1693.0,30.91
43,Tattoo Shop,5311,1080.0,20.34
44,Seafood Restaurant,5240,3764.0,71.83
45,Medical Group,4961,1028.0,20.72
46,Jewelry Store,4774,734.0,15.37
47,Pet Supply Store,4670,2620.0,56.1
48,Sign Shop,4649,6.0,0.13
49,Auto Glass Shop,4610,3.0,0.07
50,Hamburger Restaurant,4479,3381.0,75.49
51,Cosmetic Dentist,4400,1576.0,35.82
52,Thrift Store,4337,3.0,0.07
53,Print Shop,4279,563.0,13.16
54,Home Goods Store,4093,930.0,22.72
55,Japanese Restaurant,3850,2624.0,68.16
56,Fitness Center,3846,878.0,22.83
57,Electronics Store,3819,961.0,25.16
58,Pediatric Dentist,3789,1498.0,39.54
59,Physical Fitness Program,3729,933.0,25.02
60,Thai Restaurant,3704,2774.0,74.89
61,Mattress Store,3666,549.0,14.98
62,Pharmacy,3663,786.0,21.46
63,Hardware Store,3649,2234.0,61.22
64,Donut Shop,3601,2064.0,57.32
65,Antique Store,3558,531.0,14.92
66,Bakery,3557,1916.0,53.87
67,Medical Diagnostic Imaging Center,3397,1214.0,35.74
68,Chicken Restaurant,3391,2748.0,81.04
69,Sporting Goods Store,3370,1302.0,38.64
70,Barbecue Restaurant,3318,2326.0,70.1
71,Breakfast Restaurant,3309,2539.0,76.73
72,Vaporizer Store,3304,1420.0,42.98
73,Personal Trainer,3262,774.0,23.73
74,Pawn Shop,3235,1954.0,60.4
75,Sushi Restaurant,3234,2267.0,70.1
76,Barber Shop,2978,1220.0,40.97
77,Flooring Store,2788,961.0,34.47
78,Shipping Company,2728,7.0,0.26
79,Cosmetics Store,2666,732.0,27.46
80,Home Improvement Store,2652,2060.0,77.68
81,Paint Store,2642,1754.0,66.39
82,Vietnamese Restaurant,2615,1833.0,70.1
83,Indian Restaurant,2612,1909.0,73.09
84,Computer Store,2611,103.0,3.94
85,Mediterranean Restaurant,2551,1622.0,63.58
86,Bicycle Store,2523,7.0,0.28
87,Upholstery Shop,2514,274.0,10.9
88,Medical Laboratory,2464,2.0,0.08
89,Family Practice Physician,2382,897.0,37.66
90,Picture Frame Shop,2310,112.0,4.85
91,Diner,2261,1790.0,79.17
92,Steak House,2259,1808.0,80.04
93,Bagel Shop,2198,1539.0,70.02
94,Book Store,2193,699.0,31.87
95,Sports Bar,2178,766.0,35.17
96,Gun Shop,2176,707.0,32.49
97,Freight Forwarding Service,2170,107.0,4.93
98,Supermarket,2153,1477.0,68.6
99,Discount Store,2122,1241.0,58.48
100,Car Repair And Maintenance,2109,909.0,43.1
101,Embroidery Shop,2066,121.0,5.86
102,Bridal Shop,2051,311.0,15.16
103,Medical Spa,2032,318.0,15.65
104,Butcher Shop,2012,1058.0,52.58
105,Chicken Wings Restaurant,1982,1629.0,82.19
106,Urgent Care Center,1915,1348.0,70.39
107,Consignment Shop,1886,318.0,16.86
108,Boutique,1824,122.0,6.69
109,Gymnastics Center,1808,498.0,27.54
110,Video Game Store,1791,961.0,53.66
111,Office Supply Store,1778,1178.0,66.25
112,Gas Station,1776,1154.0,64.98
113,Pet Store,1768,714.0,40.38
114,Mechanic,1763,397.0,22.52
115,Electrical Supply Store,1732,,
116,Transmission Shop,1715,683.0,39.83
117,Appliance Store,1711,626.0,36.59
118,Post Office,1694,966.0,57.02
119,Hospital,1672,19.0,1.14
120,Yoga Studio,1665,208.0,12.49
121,Asian Restaurant,1637,979.0,59.8
122,Craft Store,1637,843.0,51.5
123,Lighting Store,1632,280.0,17.16
124,Martial Arts School,1626,731.0,44.96
125,Wine Store,1626,736.0,45.26
126,Frozen Yogurt Shop,1602,525.0,32.77
127,Health And Beauty Shop,1599,49.0,3.06
128,Truck Repair Shop,1508,480.0,31.83
129,Photo Shop,1496,,
130,Cocktail Bar,1486,410.0,27.59
131,Deli,1434,854.0,59.55
132,Family Restaurant,1421,1175.0,82.69
133,Juice Shop,1416,689.0,48.66
134,New American Restaurant,1414,988.0,69.87
135,Toy Store,1373,212.0,15.44
136,Party Store,1350,651.0,48.22
137,Physical Therapy Clinic,1307,297.0,22.72
138,Variety Store,1303,500.0,38.37
139,Cigar Shop,1291,527.0,40.82
140,Tex-mex Restaurant,1282,1163.0,90.72
141,Health Food Restaurant,1275,637.0,49.96
142,Video Arcade,1258,239.0,19.0
