,_id,count_with_activity
0,Houston,9631
1,Chicago,6940
2,San Antonio,6217
3,Los Angeles,5205
4,Dallas,4951
5,Las Vegas,4945
6,Phoenix,4632
7,Brooklyn,4415
8,San Diego,4039
9,Austin,3964
10,Miami,3875
11,New York,3755
12,Orlando,3633
13,Philadelphia,3590
14,Tampa,3321
15,Portland,3211
16,Denver,3079
17,Atlanta,3073
18,Seattle,3063
19,Charlotte,3037
20,Fort Worth,2912
21,Cincinnati,2649
22,Sacramento,2382
23,Washington,2133
24,Pittsburgh,2121
25,Arlington,2081
26,Baltimore,2014
27,Mesa,1763
28,San Francisco,1666
29,Aurora,1663
30,Detroit,1642
31,The Bronx,1625
32,Minneapolis,1525
33,San Jose,1507
34,Tucson,1485
35,Glendale,1463
36,Pasadena,1446
37,Long Beach,1389
38,Scottsdale,1293
39,Riverside,1281
40,Plano,1229
41,Marietta,1179
42,Fort Lauderdale,1152
43,Queens,1152
44,Newark,1122
45,Lakewood,1061
46,Katy,1027
47,Tacoma,1023
48,Vancouver,1014
49,Lakeland,997
50,St Paul,997
51,Chandler,976
52,Kissimmee,970
53,Boston,951
54,Roseville,950
55,Wilmington,947
56,Spring,943
57,Alexandria,941
58,Tempe,929
59,West Palm Beach,890
60,Staten Island,885
61,Monroe,884
62,Westminster,883
63,Anaheim,879
64,Irving,867
65,Concord,855
66,Henderson,845
67,Clearwater,827
68,Garland,800
69,Santa Ana,790
70,Everett,769
71,Oakland,758
72,Boca Raton,730
73,Gilbert,727
74,Hialeah,721
75,Decatur,716
76,San Bernardino,709
77,Frisco,698
78,Orange,675
79,Cypress,667
80,Melbourne,660
81,Hollywood,648
82,San Marcos,647
83,Torrance,647
84,Bellevue,638
85,Fairfield,638
86,Auburn,633
87,Lawrenceville,630
88,Chula Vista,620
89,Ontario,602
90,Huntington Beach,601
91,Alpharetta,599
92,Grand Prairie,584
93,Fontana,574
94,Norwalk,572
95,Humble,569
96,Littleton,566
97,Richmond,564
98,Irvine,563
99,Nashville,562
100,Oceanside,558
101,Tulsa,556
102,Round Rock,554
103,Carrollton,554
104,Fresno,550
105,Corona,549
106,Denton,549
107,Rancho Cucamonga,546
108,Peoria,542
109,Sugar Land,541
110,Fairfax,533
111,Naperville,533
112,Largo,532
113,Beaverton,531
114,Duluth,531
115,Boulder,528
116,Lewisville,526
117,Salem,523
118,Pembroke Pines,523
119,McKinney,522
120,Jersey City,520
121,Costa Mesa,518
122,Garden Grove,517
123,Rockville,516
124,Pearland,514
125,Hillsboro,512
126,Richardson,507
127,Warren,507
128,Pompano Beach,505
129,Milford,504
130,Escondido,503
131,Baytown,499
132,Livonia,492
133,Colorado Springs,485
134,Burbank,485
135,New Braunfels,483
136,Mesquite,481
137,Reading,479
138,Whittier,474
139,Columbia,474
140,Middletown,471
141,Delray Beach,471
142,Brandon,469
143,Leesburg,468
144,El Cajon,465
145,North Las Vegas,464
146,Gastonia,463
147,Englewood,460
148,Silver Spring,459
149,Fullerton,458
150,Woodbridge,455
151,Lake Worth,453
152,Rock Hill,451
153,Troy,450
154,Flushing,449
155,Covington,447
156,Kennesaw,445
157,Santa Monica,443
158,Moreno Valley,443
159,Buffalo,442
160,Springfield,437
161,Kent,433
162,Canton,433
163,Belleville,429
164,Renton,427
165,Norcross,427
166,Plymouth,422
167,Coral Springs,421
168,Puyallup,419
169,Schaumburg,419
170,Elizabeth,417
171,North Hollywood,415
172,Boynton Beach,414
173,Elk Grove,413
174,Lynnwood,411
175,Gaithersburg,404
176,Pomona,404
177,Temecula,397
178,Joliet,396
179,Cambridge,395
180,Homestead,393
181,Winter Haven,393
182,Florence,393
183,Stamford,392
184,Annapolis,389
185,Elgin,388
186,Stuart,387
187,Manassas,387
188,Vista,386
189,Winter Park,385
190,Bradenton,385
191,Spring Hill,381
192,Bloomington,380
193,Sterling Heights,380
194,Taylor,379
195,Longmont,378
196,Dearborn,377
197,Falls Church,375
198,Sanford,372
199,Simi Valley,372
200,Smyrna,372
201,Douglasville,371
202,Stafford,371
203,Fayetteville,370
204,Woodbury,370
205,Olympia,370
206,Cedar Park,369
207,Van Nuys,368
208,Berkeley,368
209,Frederick,368
210,McDonough,368
211,Roswell,367
212,Conyers,366
213,Downey,366
214,Fremont,363
215,Redlands,362
216,Folsom,360
217,Glen Burnie,360
218,Brighton,360
219,Somerville,359
220,Palmdale,359
221,Yonkers,359
222,Clinton Twp,357
223,Bridgeport,354
224,Medford,352
225,Surprise,351
226,Davie,350
227,Galveston,347
228,Northridge,347
229,Wayne,346
230,Buford,346
231,Inglewood,345
232,Clermont,345
233,Paterson,345
234,Arvada,344
235,Beaumont,344
236,Georgetown,342
237,Lancaster,342
238,Federal Way,340
239,Thornton,340
240,Hudson,338
241,Union City,337
242,Jamaica,337
243,Sterling,335
244,Southfield,335
245,Appleton,334
246,Gardena,334
247,Tomball,333
248,Plainfield,331
249,Lodi,328
250,Riverview,328
251,Woodstock,328
252,Miami Beach,327
253,Allen,327
254,Carlsbad,326
255,Kirkland,325
256,Altamonte Springs,325
257,Ann Arbor,324
258,Tustin,323
259,Trenton,321
260,St Charles,320
261,Hawthorne,320
262,Centennial,319
263,Shelby Charter Twp,317
264,Redmond,316
265,Montclair,316
266,New Haven,316
267,Waterford Twp,315
268,Suwanee,315
269,Edison,315
270,Brentwood,312
271,Upland,309
272,Sunnyvale,308
273,League City,307
274,Conroe,303
275,The Woodlands,303
276,Doral,302
277,West Chester Township,301
278,Chino,300
279,Florissant,300
280,Sunrise,298
281,Port Richey,298
282,Culver City,297
283,Sarasota,297
284,Hamilton,296
285,Santa Clarita,296
286,Webster,294
287,Laurel,294
288,Plantation,293
289,Newnan,293
290,Highland,292
291,Hayward,292
292,Jupiter,291
293,Waldorf,291
294,Rockwall,290
295,Jacksonville,290
296,El Monte,289
297,Marysville,288
298,Bremerton,287
299,Newport Beach,287
300,Maplewood,285
301,Quincy,285
302,New Port Richey,285
303,Snellville,284
304,Parker,283
305,La Mesa,283
306,Orland Park,282
307,Santa Clara,282
308,Novi,281
309,Avondale,281
310,Clifton,281
311,Pinellas Park,280
312,Cherry Hill,279
313,Addison,279
314,Buena Park,277
315,Matthews,277
316,Brooksville,276
317,Goodyear,274
318,Arlington Heights,274
319,Burleson,273
320,Gresham,273
321,Missouri City,272
322,Burlington,271
323,Pleasanton,271
324,Stockbridge,271
325,West Covina,271
326,Covina,270
327,Oak Park,270
328,Burnsville,269
329,Edgewater,267
330,West Chester,267
331,Stockton,265
332,Rialto,265
333,Mission Viejo,262
334,White Plains,262
335,Yuba City,261
336,Palm Harbor,261
337,Westland,260
338,Apopka,260
339,Carson,258
340,Stone Mountain,258
341,Thousand Oaks,258
342,Titusville,257
343,Palm Beach Gardens,256
344,Hammond,256
345,Casa Grande,255
346,Deer Park,254
347,Union,254
348,Bel Air,253
349,Deerfield Beach,253
350,Mansfield,253
351,Castle Rock,252
352,Newton,251
353,San Mateo,250
354,Redondo Beach,249
355,Ocala,249
356,Alhambra,249
357,Grapevine,248
358,Levittown,247
359,Lake Forest,247
360,Evanston,247
361,San Leandro,246
362,Eagan,246
363,Oviedo,245
364,Hurst,245
365,National City,245
366,Skokie,245
367,Rocklin,245
368,Rancho Cordova,244
369,Cumming,244
370,Plant City,244
371,Citrus Heights,244
372,Acworth,244
373,Lafayette,242
374,Encinitas,242
375,Hemet,240
376,Ypsilanti,240
377,Lutz,240
378,Lynn,239
379,Lilburn,239
380,Downers Grove,238
381,Royal Oak,238
382,Blaine,238
383,Ellicott City,237
384,Astoria,237
385,Pflugerville,237
386,Tigard,237
387,Issaquah,236
388,Maple Grove,235
389,Tucker,235
390,Farmington Hills,235
391,Broomfield,234
392,College Park,234
393,Bolingbrook,232
394,Fenton,232
395,Rosenberg,231
396,Woodland,230
397,Mountain View,230
398,Wesley Chapel,229
399,Vineland,229
400,Fountain Valley,229
401,Winter Garden,228
402,Huntersville,228
403,Magnolia,228
404,Vienna,227
405,Princeton,226
406,Bothell,226
407,Flower Mound,226
408,Coral Gables,226
409,Merrillville,225
410,Des Plaines,224
411,Loveland,223
412,Wheaton,223
413,Freeport,222
414,Mooresville,222
415,Bethesda,222
416,North Miami Beach,221
417,La Habra,221
418,Glendora,221
419,Redwood City,219
420,Fredericksburg,218
421,South Gate,218
422,Greensburg,218
423,Arnold,218
424,Kingwood,218
425,Longwood,218
426,Montebello,218
427,Waxahachie,218
428,Murrieta,217
429,Euless,217
430,Garden City,217
431,Canoga Park,217
432,North Richland Hills,217
433,St Cloud,215
434,Vallejo,214
435,Bedford,214
436,Compton,214
437,Rochester Hills,214
438,Bellflower,214
439,Shelton,213
440,Hackensack,213
441,Spring Valley,213
442,Woodland Hills,212
443,Livermore,212
444,Belmont,212
445,New Castle,212
446,San Clemente,212
447,Lake Elsinore,211
448,Beverly Hills,211
449,Chantilly,211
450,Salisbury,210
451,Forest Park,210
452,Columbus,210
453,Highland Park,210
454,Lacey,209
455,Lombard,208
456,Waltham,208
457,Elmhurst,207
458,Wheat Ridge,207
459,La Puente,207
460,Paramus,206
461,Mason,206
462,Brea,206
463,Arcadia,205
464,Pontiac,205
465,Zephyrhills,205
466,Southlake,205
467,Palo Alto,204
468,Fort Mill,203
469,Perris,202
470,Hicksville,202
471,Bridgeton,201
472,Tukwila,201
473,Coon Rapids,200
474,Cleburne,199
475,Pottstown,199
476,Greeley,199
477,Somerset,198
478,Golden,198
479,St Clair Shores,198
480,Jonesboro,198
481,Keller,198
482,Granbury,198
483,Huntington Park,198
484,New Smyrna Beach,197
485,Silverdale,197
486,Queen Creek,197
487,Friendswood,197
488,Monroeville,197
489,Palm Bay,197
490,Cedar Hill,197
491,Riverdale,196
492,Texas City,196
493,Berwyn,196
494,Chester,195
495,Palatine,195
496,Sandy Springs,195
497,San Rafael,195
498,Raleigh,195
499,Davis,194
500,Norwood,194
501,Cocoa,193
502,Owings Mills,193
503,Greenville,193
504,Pico Rivera,192
505,Dunedin,192
506,Edmonds,192
507,Kannapolis,192
508,Peachtree City,191
509,Herndon,191
510,Towson,191
511,Bay Shore,190
512,Clinton,190
513,Bowie,189
514,DeLand,188
515,Cerritos,188
516,Madison Heights,188
517,Norristown,187
518,Santee,186
519,Gary,186
520,Lake Mary,186
521,Alvin,186
522,Oregon City,185
523,Stratford,185
524,Burien,185
525,Morrow,184
526,La Jolla,183
527,Newport,183
528,Merritt Island,182
529,Walnut Creek,182
530,Ocoee,181
531,Hoboken,181
532,Miramar,181
533,Ashburn,180
534,Batavia,180
535,San Pedro,180
536,Edina,180
537,Hyattsville,180
538,Tinley Park,179
539,Cartersville,178
540,Margate,178
541,Germantown,178
542,Niles,178
543,Oakland Park,178
544,Temple,178
545,Dorchester,178
546,Oak Lawn,177
547,The Villages,177
548,Sherman Oaks,177
549,Duncanville,177
550,West Hollywood,176
551,McLean,176
552,Long Island City,175
553,Wellington,175
554,Passaic,175
555,Hallandale Beach,175
556,Ridgewood,175
557,Seminole,174
558,Cicero,174
559,Montgomery,174
560,Monrovia,173
561,Dearborn Heights,173
562,McMinnville,173
563,Greenwood Village,173
