Name,Rank
"New York-Newark-Jersey City, NY-NJ-PA MSA",1
"Los Angeles-Long Beach-Anaheim, CA MSA",2
"Chicago-Naperville-Elgin, IL-IN-WI MSA",3
"Dallas-Fort Worth-Arlington, TX MSA",4
"Houston-The Woodlands-Sugar Land, TX MSA",5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",6
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",8
"Atlanta-Sandy Springs-Alpharetta, GA MSA",9
"Phoenix-Mesa-Chandler, AZ MSA",10
"Boston-Cambridge-Newton, MA-NH MSA",11
"San Francisco-Oakland-Berkeley, CA MSA",12
"Riverside-San Bernardino-Ontario, CA MSA",13
"Detroit-Warren-Dearborn, MI MSA",14
"Seattle-Tacoma-Bellevue, WA MSA",15
"Minneapolis-St. Paul-Bloomington, MN-WI MSA",16
"San Diego-Chula Vista-Carlsbad, CA MSA",17
"Tampa-St. Petersburg-Clearwater, FL MSA",18
"Denver-Aurora-Lakewood, CO MSA",19
"St. Louis, MO-IL MSA",20
"Baltimore-Columbia-Towson, MD MSA",21
"Charlotte-Concord-Gastonia, NC-SC MSA",22
"Orlando-Kissimmee-Sanford, FL MSA",23
"San Antonio-New Braunfels, TX MSA",24
"Portland-Vancouver-Hillsboro, OR-WA MSA",25
"Sacramento-Roseville-Folsom, CA MSA",26
"Pittsburgh, PA MSA",27
"Las Vegas-Henderson-Paradise, NV MSA",28
"Austin-Round Rock-Georgetown, TX MSA",29
"Cincinnati, OH-KY-IN MSA",30
