category,terminal_category_name,terminal_category_count,insemble_category_name,insemble_category_count,diff
mexican torta restaurant,mexican torta restaurant,3.0,mexican restaurant,1289.0,1286
pizza place,,,pizza place,897.0,897
automotive shop,,,automotive shop,747.0,747
pharmacy,pharmacy,20.0,pharmacy,701.0,681
sandwich place,,,sandwich place,647.0,647
coffee shop,coffee shop,1.0,coffee shop,609.0,608
chinese noodle restaurant,chinese noodle restaurant,4.0,chinese restaurant,573.0,569
mobile phone shop,mobile phone repair shop,1.0,mobile phone shop,522.0,521
mobile phone repair shop,mobile phone repair shop,1.0,mobile phone shop,522.0,521
burger joint,,,burger joint,499.0,499
central american restaurant,central american restaurant,5.0,american restaurant,481.0,476
bakery,bakery,34.0,bakery,449.0,415
beach clothing store,beach clothing store,1.0,clothing store,402.0,401
youth clothing store,youth clothing store,1.0,clothing store,402.0,401
baby clothing store,baby clothing store,10.0,clothing store,402.0,392
pho restaurant,pho restaurant,4.0,restaurant,374.0,370
used clothing store,used clothing store,33.0,clothing store,402.0,369
asian grocery store,asian grocery store,31.0,grocery store,374.0,343
auto dealership,,,auto dealership,342.0,342
miscellaneous shop,,,miscellaneous shop,341.0,341
office,,,office,332.0,332
café,,,café,324.0,324
convenience store,convenience store,21.0,convenience store,345.0,324
taco place,,,taco place,297.0,297
south asian restaurant,south asian restaurant,2.0,asian restaurant,298.0,296
pan-asian restaurant,pan-asian restaurant,5.0,asian restaurant,298.0,293
food,,,food,286.0,286
building,,,building,284.0,284
asian restaurant,asian restaurant,53.0,asian restaurant,298.0,245
fried chicken joint,,,fried chicken joint,226.0,226
construction & landscaping,,,construction & landscaping,217.0,217
gas station,gas station,6.0,gas station,215.0,209
cosmetics shop,,,cosmetics shop,208.0,208
asian fusion restaurant,asian fusion restaurant,94.0,asian restaurant,298.0,204
donut shop,donut shop,10.0,donut shop,213.0,203
american restaurant,american restaurant,290.0,american restaurant,481.0,191
hardware store,hardware store,156.0,hardware store,329.0,173
breakfast spot,,,breakfast spot,165.0,165
korean restaurant,korean restaurant,114.0,korean restaurant,277.0,163
juice bar,,,juice bar,162.0,162
home service,,,home service,162.0,162
food truck,,,food truck,161.0,161
video store,video store,18.0,video store,178.0,160
shipping store,,,shipping store,152.0,152
smoke shop,,,smoke shop,150.0,150
flower shop,,,flower shop,142.0,142
latin american restaurant,latin american restaurant,33.0,latin american restaurant,174.0,141
salon / barbershop,,,salon / barbershop,138.0,138
ice cream shop,ice cream shop,64.0,ice cream shop,200.0,136
sushi restaurant,sushi restaurant,263.0,sushi restaurant,396.0,133
deli / bodega,,,deli / bodega,133.0,133
modern indian restaurant,modern indian restaurant,1.0,indian restaurant,134.0,133
boutique,boutique,30.0,boutique,162.0,132
bar,bar,22.0,bar,150.0,128
women's store,,,women's store,127.0,127
self-storage facility,self-storage facility,5.0,storage facility,132.0,127
storage facility,self-storage facility,5.0,storage facility,132.0,127
bbq joint,,,bbq joint,126.0,126
sporting goods shop,,,sporting goods shop,123.0,123
jewelry store,jewelry store,211.0,jewelry store,328.0,117
doctor's office,,,doctor's office,112.0,112
big box store,,,big box store,111.0,111
other repair shop,,,other repair shop,110.0,110
arts & crafts store,,,arts & crafts store,104.0,104
dessert shop,dessert shop,1.0,dessert shop,105.0,104
middle eastern restaurant,middle eastern restaurant,24.0,middle eastern restaurant,127.0,103
print shop,print shop,5.0,print shop,105.0,100
paper / office supplies store,,,paper / office supplies store,97.0,97
wings joint,,,wings joint,97.0,97
thrift / vintage store,,,thrift / vintage store,94.0,94
chinese restaurant,chinese restaurant,480.0,chinese restaurant,573.0,93
vegetarian / vegan restaurant,vegetarian restaurant,12.0,vegetarian / vegan restaurant,102.0,90
vegetarian restaurant,vegetarian restaurant,12.0,vegetarian / vegan restaurant,102.0,90
design studio,,,design studio,90.0,90
medical center,medical center,1.0,medical center,87.0,86
pet store,pet store,66.0,pet store,151.0,85
poke place,,,poke place,83.0,83
business service,,,business service,83.0,83
optical shop,,,optical shop,81.0,81
wine bar,wine bar,9.0,wine bar,89.0,80
car accessories store,car accessories store,3.0,accessories store,81.0,78
salad place,,,salad place,76.0,76
general entertainment,,,general entertainment,73.0,73
dentist's office,,,dentist's office,72.0,72
truck accessories store,truck accessories store,10.0,accessories store,81.0,71
bike shop,,,bike shop,71.0,71
gift shop,gift shop,69.0,gift shop,138.0,69
music box store,music box store,1.0,music store,69.0,68
japanese restaurant,japanese restaurant,292.0,japanese restaurant,360.0,68
men's store,,,men's store,68.0,68
noodle house,,,noodle house,64.0,64
hot dog joint,,,hot dog joint,64.0,64
factory,,,factory,64.0,64
warehouse store,warehouse store,6.0,warehouse store,70.0,64
tattoo parlor,,,tattoo parlor,63.0,63
live music venue,live music venue,1.0,music venue,64.0,63
snack place,,,snack place,63.0,63
music venue,live music venue,1.0,music venue,64.0,63
kids store,,,kids store,61.0,61
modern french restaurant,modern french restaurant,6.0,french restaurant,67.0,61
health & beauty service,,,health & beauty service,58.0,58
market,market,4.0,market,61.0,57
antique shop,,,antique shop,57.0,57
toy / game store,,,toy / game store,56.0,56
bagel shop,bagel shop,2.0,bagel shop,56.0,54
frozen yogurt shop,frozen yogurt shop,1.0,frozen yogurt shop,53.0,52
supermarket,supermarket,95.0,supermarket,145.0,50
hobby shop,,,hobby shop,47.0,47
church,,,church,47.0,47
spa,,,spa,47.0,47
financial or legal service,,,financial or legal service,45.0,45
supplement shop,,,supplement shop,44.0,44
diner,diner,110.0,diner,154.0,44
food & drink shop,,,food & drink shop,43.0,43
art gallery,art gallery,1.0,art gallery,43.0,42
event space,,,event space,41.0,41
food court,food court,3.0,food court,42.0,39
bookstore,bookstore,39.0,bookstore,77.0,38
south american restaurant,south american restaurant,1.0,south american restaurant,39.0,38
italian restaurant,italian restaurant,332.0,italian restaurant,369.0,37
steak house,steak house,43.0,steakhouse,78.0,35
steakhouse,steak house,43.0,steakhouse,78.0,35
butcher,,,butcher,35.0,35
southern / soul food restaurant,,,southern / soul food restaurant,34.0,34
hotel,,,hotel,34.0,34
bubble tea shop,,,bubble tea shop,31.0,31
marijuana dispensary,,,marijuana dispensary,31.0,31
cocktail bar,cocktail bar,7.0,cocktail bar,38.0,31
rental service,,,rental service,30.0,30
bank,,,bank,30.0,30
fast food restaurant,fast food restaurant,895.0,fast food restaurant,924.0,29
coworking space,,,coworking space,28.0,28
thai restaurant,thai restaurant,303.0,thai restaurant,331.0,28
burrito place,,,burrito place,28.0,28
recording studio,,,recording studio,27.0,27
laundry service,,,laundry service,26.0,26
pub,pub,6.0,pub,32.0,26
lounge,lounge,5.0,lounge,31.0,26
tea room,,,tea room,25.0,25
buffet,,,buffet,25.0,25
nail salon,,,nail salon,25.0,25
wine shop,wine shop,4.0,wine shop,29.0,25
arcade,,,arcade,25.0,25
shopping plaza,,,shopping plaza,24.0,24
shopping mall,shopping mall,36.0,shopping mall,60.0,24
pet service,,,pet service,24.0,24
cajun / creole restaurant,creole restaurant,8.0,cajun / creole restaurant,31.0,23
bridal shop,bridal shop,5.0,bridal shop,28.0,23
creole restaurant,creole restaurant,8.0,cajun / creole restaurant,31.0,23
board shop,,,board shop,23.0,23
gym / fitness center,,,gym / fitness center,23.0,23
fabric shop,,,fabric shop,21.0,21
brewery,brewery,6.0,brewery,27.0,21
food stand,,,food stand,21.0,21
donburi restaurant,,,donburi restaurant,21.0,21
yoga studio,,,yoga studio,21.0,21
post office,,,post office,20.0,20
music school,music school,3.0,music school,23.0,20
music store,music store,49.0,music store,69.0,20
tech startup,,,tech startup,19.0,19
gastropub,gastropub,46.0,gastropub,65.0,19
elementary school,,,elementary school,19.0,19
caribbean restaurant,caribbean restaurant,8.0,caribbean restaurant,27.0,19
mediterranean restaurant,mediterranean restaurant,205.0,mediterranean restaurant,223.0,18
auto garage,,,auto garage,18.0,18
bowling alley,bowling alley,1.0,bowling alley,19.0,18
record shop,,,record shop,18.0,18
photography lab,,,photography lab,18.0,18
motorcycle shop,motorcycle shop,1.0,motorcycle shop,19.0,18
hotel bar,,,hotel bar,17.0,17
shop & service,,,shop & service,17.0,17
eye doctor,,,eye doctor,17.0,17
lawyer,,,lawyer,17.0,17
auto workshop,,,auto workshop,17.0,17
sports bar,sports bar,17.0,sports bar,33.0,16
gym,,,gym,16.0,16
chiropractor,chiropractor,1.0,chiropractor,17.0,16
french restaurant,french restaurant,51.0,french restaurant,67.0,16
gourmet shop,,,gourmet shop,15.0,15
dive bar,,,dive bar,15.0,15
indian restaurant,indian restaurant,119.0,indian restaurant,134.0,15
farmers market,,,farmers market,15.0,15
tailor shop,,,tailor shop,14.0,14
professional & other places,,,professional & other places,14.0,14
comfort food restaurant,,,comfort food restaurant,14.0,14
veterinarian,,,veterinarian,13.0,13
hookah bar,hookah bar,3.0,hookah bar,16.0,13
nightlife spot,,,nightlife spot,13.0,13
moving target,,,moving target,13.0,13
comic shop,,,comic shop,13.0,13
vietnamese restaurant,vietnamese restaurant,111.0,vietnamese restaurant,124.0,13
speakeasy,,,speakeasy,13.0,13
school,,,school,13.0,13
garden center,garden center,8.0,garden center,21.0,13
frame store,,,frame store,13.0,13
business center,business center,4.0,business center,17.0,13
