,msa,lat,lng
0,Indianapolis Metropolitan Area center,39.809623949999995,-86.13135585
1,Indianapolis Metropolitan Area north west,40.00950330064094,-86.41391588847944
2,Indianapolis Metropolitan Area south east,39.609744599359054,-85.84879581152057
3,San Jose Metropolitan Area center,36.84074244999999,-121.39951899999998
4,San Jose Metropolitan Area north west,37.257221191245826,-121.98827541117969
5,San Jose Metropolitan Area south east,36.42426370875416,-120.81076258882028
6,Buffalo Metropolitan Area center,42.9064155,-78.79857025
7,Buffalo Metropolitan Area north west,43.28759107463363,-79.33742023470592
8,Buffalo Metropolitan Area south east,42.52523992536637,-78.25972026529408
9,New Orleans Metropolitan Area center,29.818606550000002,-89.75293880000001
10,New Orleans Metropolitan Area north west,30.27010758372617,-90.39120457910165
11,New Orleans Metropolitan Area south east,29.367105516273835,-89.11467302089837
12,Hartford Metropolitan Area center,41.7068991,-72.7308962
13,Hartford Metropolitan Area north west,41.90115346942233,-73.00550446705093
14,Hartford Metropolitan Area south east,41.51264473057767,-72.45628793294908
15,Raleigh Metropolitan Area center,35.7950655,-78.67150935
16,Raleigh Metropolitan Area north west,36.006117368056096,-78.9698634509507
17,Raleigh Metropolitan Area south east,35.584013631943904,-78.37315524904929
18,"Louisville/Jefferson County, KY Metropolitan Area center",38.188804999999995,-85.6767705
19,"Louisville/Jefferson County, KY Metropolitan Area north west",38.29106067794083,-85.82132454323184
20,"Louisville/Jefferson County, KY Metropolitan Area south east",38.08654932205916,-85.53221645676817
21,Cleveland Metropolitan Area center,41.4215018,-81.6747572
22,Cleveland Metropolitan Area north west,41.81173033890933,-82.22640493457799
23,Cleveland Metropolitan Area south east,41.031273261090675,-81.12310946542202
24,"Jacksonville, FL Metropolitan Area center",30.3159596,-81.6100919
25,"Jacksonville, FL Metropolitan Area north west",30.540578498106573,-81.92762507333022
26,"Jacksonville, FL Metropolitan Area south east",30.091340701893426,-81.29255872666978
27,"Columbus, OH Metropolitan Area center",40.06723615,-83.01963305
28,"Columbus, OH Metropolitan Area north west",40.26636446363857,-83.30113138278743
29,"Columbus, OH Metropolitan Area south east",39.86810783636143,-82.73813471721256
30,"Kansas City, MO Metropolitan Area center",39.068401,-94.59040800000001
31,"Kansas City, MO Metropolitan Area north west",39.069979263314494,-94.59263911662833
32,"Kansas City, MO Metropolitan Area south east",39.06682273668551,-94.58817688337169
33,Virginia Beach Metropolitan Area center,36.8188382,-76.20201095
34,Virginia Beach Metropolitan Area north west,36.922987699882555,-76.34924220025202
35,Virginia Beach Metropolitan Area south east,36.71468870011745,-76.05477969974798
36,"Richmond, VA Metropolitan Area center",37.50135039999999,-77.5170119
37,"Richmond, VA Metropolitan Area north west",37.70777716142877,-77.80882770521183
38,"Richmond, VA Metropolitan Area south east",37.29492363857121,-77.22519609478817
39,"Memphis, TN Metropolitan Area center",35.038116,-89.88624005
40,"Memphis, TN Metropolitan Area north west",35.4642039681638,-90.48858057339035
41,"Memphis, TN Metropolitan Area south east",34.6120280318362,-89.28389952660964
42,Nashville Metropolitan Area center,36.117038949999994,-86.77622964999999
43,Nashville Metropolitan Area north west,36.32723227145466,-87.07337006399423
44,Nashville Metropolitan Area south east,35.90684562854533,-86.47908923600575
45,Birmingham Metropolitan Area center,33.45403355,-86.77657075
46,Birmingham Metropolitan Area north west,33.67112574104303,-87.08346377150524
47,Birmingham Metropolitan Area south east,33.23694135895697,-86.46967772849477
48,Grand Rapids Metropolitan Area center,42.95034545,-85.72256645
49,Grand Rapids Metropolitan Area north west,43.04557140519559,-85.85718290476646
50,Grand Rapids Metropolitan Area south east,42.85511949480441,-85.58794999523354
51,"Salt Lake City, UT Metropolitan Area center",40.4798043,-112.800109
52,"Salt Lake City, UT Metropolitan Area north west",40.87563858401035,-113.35968131281167
53,"Salt Lake City, UT Metropolitan Area south east",40.08397001598964,-112.24053668718834
54,"Tucson, AZ Metropolitan Area center",32.25741965,-110.9313453
55,"Tucson, AZ Metropolitan Area north west",32.36743982492097,-111.0868756474796
56,"Tucson, AZ Metropolitan Area south east",32.147399475079034,-110.7758149525204
57,"Urban Honolulu, HI Metropolitan Area center",24.85825345,-168.0204405
58,"Urban Honolulu, HI Metropolitan Area north west",28.635734433272926,-173.36048772632068
59,"Urban Honolulu, HI Metropolitan Area south east",21.080772466727073,-162.68039327367933
